学年,必修/選択など種別,科目,シラバスURL,単位,履修状況
3,必修,解析学Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=3Z002&year=2021&lang=ja,4,合格
3,必修,代数・幾何Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=3Z003&year=2021&lang=ja,1,合格
3,必修,統計学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=3Z004&year=2021&lang=ja,1,合格
3,必修,現代社会Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=3Z005&year=2021&lang=ja,2,合格
3,必修,日本事情,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=3Z005-5&year=2021&lang=ja,2,合格
3,必修,英語コミュニケーションA,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=3Z006&year=2021&lang=ja,2,合格
3,必修,英語コミュニケーションB,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=3Z007-5&year=2021&lang=ja,2,合格
3,選択,体育Ⅲ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=3Z008&year=2021&lang=ja,2,合格
3,必修,課題研究Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=3I001&year=2021&lang=ja,1,合格
3,必修,専門創造演習,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=3I002&year=2021&lang=ja,1,合格
3,必修,高齢者福祉論,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=3I003&year=2021&lang=ja,1,合格
3,必修,プログラミングⅡ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=3I004&year=2021&lang=ja,2,合格
3,必修,情報システム演習Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=3I005&year=2021&lang=ja,2,合格
3,必修,論理回路,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=3I006&year=2021&lang=ja,2,合格
3,必修,電気回路Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=3I007&year=2021&lang=ja,2,合格
3,必修,電子工学実験Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=3I008&year=2021&lang=ja,3,合格
3,必修,情報処理システム,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=3I009&year=2021&lang=ja,1,合格
3,必修,応用物理学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=3Z009&year=2021&lang=ja,4,合格
4,必修,日本語コミュニケーション,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z001&year=2021&lang=ja,2,合格
4,必修,英語A,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z002&year=2021&lang=ja,2,合格
4,必修,英語B,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z003&year=2021&lang=ja,2,合格
4,選択,日本語の表現技法Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z004&year=2021&lang=ja,2,合格
4,選択,日本語の表現技法Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z005&year=2021&lang=ja,2,合格
4,選択,文学特講Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z006&year=2021&lang=ja,2,合格
4,選択,文学特講Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z007&year=2021&lang=ja,2,合格
4,選択,数学特講Basic,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z008&year=2021&lang=ja,2,合格
4,選択,数学特講Advanced,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z009&year=2021&lang=ja,2,合格
4,選択,代数学特講,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z010&year=2021&lang=ja,2,合格
4,選択,複素関数論,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z011&year=2021&lang=ja,2,合格
4,選択,ベクトル解析,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z012&year=2021&lang=ja,2,合格
4,選択,フーリエ解析,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z013&year=2021&lang=ja,2,合格
4,選択,物理学特講,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z014&year=2021&lang=ja,2,合格
4,選択,化学特講,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z015&year=2021&lang=ja,2,合格
4,選択,社会科学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z016&year=2021&lang=ja,2,合格
4,選択,歴史学Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z017&year=2021&lang=ja,2,合格
4,選択,人間科学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z018&year=2021&lang=ja,2,合格
4,選択,国際文化,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z019&year=2021&lang=ja,2,合格
4,選択,環境科学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z020&year=2021&lang=ja,2,合格
4,選択,地球環境,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z021&year=2021&lang=ja,2,合格
4,選択,英語コミュニケーションⅠ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z022&year=2021&lang=ja,2,合格
4,選択,英語コミュニケーションⅡ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z023&year=2021&lang=ja,2,合格
4,選択,第二外国語,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z024&year=2021&lang=ja,2,合格
4,選択,一般技術英語,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z025&year=2021&lang=ja,2,合格
4,選択,体育A,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z026&year=2021&lang=ja,1,合格
4,選択,体育B,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z027&year=2021&lang=ja,1,合格
4,必修,福祉人間工学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I001&year=2021&lang=ja,1,合格
4,必修,創造設計基礎演習,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I002&year=2021&lang=ja,1,合格
4,必修,アルゴリズムⅠ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I003&year=2021&lang=ja,1,合格
4,必修,アルゴリズムⅡ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I004&year=2021&lang=ja,1,合格
4,必修,離散数学Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I005&year=2021&lang=ja,1,合格
4,必修,離散数学Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I006&year=2021&lang=ja,1,合格
4,必修,数値計算法Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I007&year=2021&lang=ja,1,合格
4,必修,情報システム演習Ⅲ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I008&year=2021&lang=ja,1,合格
4,必修,情報システム演習Ⅳ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I009&year=2021&lang=ja,1,合格
4,必修,電気回路Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I010&year=2021&lang=ja,1,合格
4,必修,電子回路Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I011&year=2021&lang=ja,2,合格
4,必修,電子回路Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I012&year=2021&lang=ja,1,合格
4,必修,半導体工学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I013&year=2021&lang=ja,2,合格
4,必修,電子工学実験Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I014&year=2021&lang=ja,1,合格
4,必修,電子工学実験Ⅲ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I015&year=2021&lang=ja,1,合格
4,必修,コンピュータアーキテクチャⅠ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I016&year=2021&lang=ja,1,合格
4,必修,コンピュータアーキテクチャⅡ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I017&year=2021&lang=ja,1,合格
4,必修,情報ネットワーク,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I018&year=2021&lang=ja,2,合格
4,必修,卒業研究Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I019&year=2021&lang=ja,2,合格
4,必修,応用数学Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z028&year=2021&lang=ja,2,合格
4,必修,応用数学Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=4Z029&year=2021&lang=ja,1,合格
